t,x,y,hope,joy,satisfaction,fear
177,11.179996,18.085049,0.635,0.0,0.0,0.2575
178,11.179996,17.696196,0.63125,0.0,0.0,0.25625
179,11.181404,17.411268,0.62875,0.0,0.0,0.255
180,11.2978525,16.809675,0.625,0.0,0.0,0.25375
181,11.376614,16.2957,0.6225,0.0,0.0,0.2525
182,11.455375,15.781726,0.61875,0.0,0.0,0.25125
183,11.180661,15.397476,0.61625,0.0,0.0,0.25
184,10.794122,15.049722,0.6125,0.0,0.0,0.24875
185,10.4094715,14.699841,0.61,0.0,0.0,0.2475
186,9.928613,14.262539,0.60625,0.0,0.0,0.24625
187,9.640097,14.000158,0.60375,0.0,0.0,0.245
188,9.392269,13.970075,0.6,0.0,0.0,0.24375
189,9.327666,13.970075,0.5975,0.0,0.0,0.2425
190,9.311657,13.970075,0.595,0.0,0.0,0.24125
191,9.298124,13.970075,0.59125,0.0,0.0,0.24
192,9.038137,13.970075,0.58875,0.0,0.0,0.23875
193,8.979986,13.51808,0.58625,0.0,0.0,0.2375
194,8.979987,13.0039425,0.5825,0.0,0.0,0.2375
195,8.979987,12.494641,0.58,0.0,0.0,0.23625
196,8.99319,11.999288,0.5775,0.0,0.0,0.235
197,9.112216,11.7681465,0.57375,0.0,0.0,0.23375
198,9.179951,11.437295,0.57125,0.0,0.0,0.2325
199,9.229253,10.945559,0.56875,0.0,0.0,0.23125
200,9.509939,10.674819,0.565,0.0,0.0,0.23
201,9.790627,10.404079,0.5625,0.0,0.0,0.22875
202,10.157452,10.271703,0.56,0.0,0.0,0.2275
203,10.768828,10.051075,0.5575,0.0,0.0,0.22625
204,11.25793,9.874573,0.55375,0.0,0.0,0.225
205,11.777389,9.859777,0.55125,0.0,0.0,0.22375
206,12.297152,9.844982,0.54875,0.0,0.0,0.22375
207,12.946856,9.8264885,0.54625,0.0,0.0,0.2225
208,13.336676,9.820003,0.54375,0.0,0.0,0.22125
209,13.856249,9.820003,0.54125,0.0,0.0,0.22
210,14.374332,9.820003,0.5375,0.0,0.0,0.21875
211,14.756209,10.17291,0.535,0.0,0.0,0.2175
212,15.042617,10.437591,0.5325,0.0,0.0,0.21625
213,15.136729,10.527263,0.53,0.0,0.0,0.215
214,15.22771,10.677579,0.5275,0.0,0.0,0.215
215,15.468571,10.831809,0.525,0.0,0.0,0.21375
216,16.11756,10.820383,0.5225,0.0,0.0,0.2125
217,16.767431,10.820002,0.52,0.0,0.0,0.21125
218,17.287079,10.820002,0.51625,0.0,0.0,0.21
219,17.519922,10.820002,0.51375,0.0,0.0,0.20875
220,17.851273,10.668457,0.51125,0.0,0.0,0.2075
221,18.39397,10.310773,0.50875,0.0,0.0,0.2075
222,18.828243,10.024802,0.50625,0.0,0.0,0.20625
223,18.936811,9.953309,0.50375,0.0,0.0,0.205
224,18.936811,9.953309,0.50125,0.0,0.0,0.20375
225,19.31482,9.857417,0.49875,0.0,0.0,0.2025
226,19.649847,9.801902,0.49625,0.0,0.0,0.2025
227,19.649847,9.801902,0.49375,0.0,0.0,0.20125
228,19.649847,9.801902,0.49125,0.0,0.0,0.2
229,19.909834,9.801902,0.48875,0.0,0.0,0.19875
230,19.889675,9.412443,0.48625,0.0,0.0,0.1975
231,19.862795,8.893164,0.48375,0.0,0.0,0.1975
232,19.835918,8.3740425,0.4825,0.0,0.0,0.19625
233,19.820005,7.9845834,0.48,0.0,0.0,0.195
234,19.82,7.594608,0.4775,0.0,0.0,0.19375
235,19.820002,7.204634,0.475,0.0,0.0,0.1925
236,19.820002,6.6846724,0.4725,0.0,0.0,0.1925
237,19.82,6.1647153,0.47,0.0,0.0,0.19125
238,19.82,5.6447673,0.4675,0.0,0.0,0.19
239,19.820002,5.254816,0.465,0.0,0.0,0.18875
240,19.8201,4.864884,0.4625,0.0,0.0,0.18875
241,19.820002,4.345076,0.46125,0.0,0.0,0.1875
242,19.820002,4.0853753,0.45875,0.0,0.0,0.18625
243,19.820002,3.695403,0.45625,0.0,0.0,0.185
244,19.8201,3.305434,0.45375,0.0,0.0,0.185
245,19.82,2.9154685,0.45125,0.0,0.0,0.18375
246,19.82,2.655494,0.44875,0.0,0.0,0.1825
247,19.82,2.26554,0.4475,0.0,0.0,0.18125
248,19.82,1.7456306,0.445,0.0,0.0,0.18125
249,19.820004,1.2258526,0.4425,0.0,0.0,0.18
250,19.820004,0.9662559,0.44,0.0,0.0,0.17875
251,19.820004,0.9662559,0.43875,0.0,0.0,0.17875
252,19.82,1.3562255,0.43625,0.0,0.0,0.1775
253,19.820002,1.7461905,0.43375,0.0,0.0,0.17625
254,19.82,2.2661335,0.43125,0.0,0.0,0.175
255,19.82,2.7860503,0.43,0.0,0.0,0.2875
256,19.82,3.3058703,0.4275,0.0,0.0,0.28625
257,19.8201,3.5649745,0.425,0.0,0.0,0.285
258,19.820002,3.9549499,0.42375,0.0,0.0,0.28375
259,19.82,4.474914,0.42125,0.0,0.0,0.28125
260,19.820002,4.9948745,0.41875,0.0,0.0,0.28
261,19.82,5.384841,0.41625,0.0,0.0,0.27875
262,19.82,5.774803,0.415,0.0,0.0,0.2775
263,19.820002,6.1647577,0.4125,0.0,0.0,0.27625
264,19.820002,6.554697,0.41125,0.0,0.0,0.275
265,19.820002,7.0745416,0.40875,0.0,0.0,0.27375
266,19.820002,7.464119,0.40625,0.0,0.0,0.2725
267,19.820002,7.8540797,0.405,0.0,0.0,0.27125
268,19.820002,8.374009,0.4025,0.0,0.0,0.27
269,19.820002,8.893879,0.4,0.0,0.0,0.2675
270,19.820002,9.413333,0.39875,0.0,0.0,0.26625
271,19.820002,9.413333,0.39625,0.0,0.0,0.265
272,19.820002,9.413333,0.395,0.0,0.0,0.26375
273,19.820002,9.67332,0.3925,0.0,0.0,0.2625
274,19.917645,10.050879,0.39125,0.0,0.0,0.26125
275,20.080383,10.680143,0.38875,0.0,0.0,0.26
276,20.14548,10.9318495,0.38625,0.0,0.0,0.25875
277,19.772438,11.045539,0.385,0.0,0.0,0.2575
278,19.399397,11.159229,1.0,0.0,0.0,0.25625
279,19.399397,11.159229,0.995,0.0,0.0,0.255
280,19.399397,11.159229,0.99,0.0,0.0,0.25375
281,19.13941,11.159229,0.985,0.0,0.0,0.2525
282,19.13941,11.159229,0.98,0.0,0.0,0.25125
283,19.13941,11.159229,0.975,0.0,0.0,0.25
284,18.879423,11.159229,0.97,0.0,0.0,0.24875
285,18.489672,11.172604,0.965,0.0,0.0,0.2475
286,18.099926,11.179997,0.96125,0.0,0.0,0.24625
287,18.0031,11.181138,0.95625,0.0,0.0,0.245
288,18.134644,11.1789465,0.95125,0.0,0.0,0.24375
289,18.130209,11.098587,0.94625,0.0,0.0,0.2425
290,18.005754,10.981902,0.94125,0.0,0.0,0.24125
291,17.382713,10.97982,0.9375,0.0,0.0,0.24
292,16.87026,10.979984,0.9325,0.0,0.0,0.23875
293,16.239244,10.979984,0.9275,0.0,0.0,0.2375
294,15.74713,11.147903,0.9225,0.0,0.0,0.23625
295,15.37311,11.194881,0.91875,0.0,0.0,0.235
296,15.291176,11.243386,0.91375,0.0,0.0,0.23375
297,15.291176,11.243386,0.90875,0.0,0.0,0.2325
298,15.291176,11.243386,0.905,0.0,0.0,0.2325
299,15.031189,11.243386,0.9,0.0,0.0,0.23125
300,15.1095085,11.347137,0.89625,0.0,0.0,0.23
301,15.131862,11.736477,0.89125,0.0,0.0,0.22875
302,15.154215,12.125816,0.8875,0.0,0.0,0.2275
303,15.176568,12.514869,0.8825,0.0,0.0,0.22625
304,15.179994,13.162922,0.8775,0.0,0.0,0.225
305,15.179994,13.522114,0.87375,0.0,0.0,0.22375
306,15.179994,13.522114,0.86875,0.0,0.0,0.2225
307,15.179994,13.522114,0.865,0.0,0.0,0.22125
308,15.179994,13.522114,0.86125,0.0,0.0,0.22
309,15.179994,13.782101,0.85625,0.0,0.0,0.22
310,15.179994,13.782101,0.8525,0.0,0.0,0.21875
311,15.550159,13.824598,0.8475,0.0,0.0,0.2175
312,16.070097,13.820001,0.84375,0.0,0.0,0.21625
313,16.59005,13.820001,0.84,0.0,0.0,0.215
314,16.980007,13.820001,0.835,0.0,0.0,0.21375
315,17.49993,13.820001,0.83125,0.0,0.0,0.2125
316,18.019766,13.820001,0.8275,0.0,0.0,0.2125
317,18.409288,13.820001,0.8225,0.0,0.0,0.21125
318,18.465233,13.93734,0.81875,0.0,0.0,0.21
319,18.626871,13.979912,0.815,0.0,0.0,0.20875
320,18.727757,13.979912,0.81,0.0,0.0,0.2075
321,18.762579,13.979912,0.80625,0.0,0.0,0.20625
322,18.77237,13.979912,0.8025,0.0,0.0,0.20625
323,19.032356,13.979912,0.79875,0.0,0.0,0.205
324,19.042439,14.043733,0.795,0.0,0.0,0.20375
325,19.108528,14.109089,0.79,0.0,0.0,0.2025
326,19.172106,14.264517,0.78625,0.0,0.0,0.20125
327,19.170092,14.455922,0.7825,0.0,0.0,0.2
328,19.170092,14.476993,0.77875,0.0,0.0,0.2
329,19.170092,14.499685,0.775,0.0,0.0,0.19875
330,19.170092,14.499685,0.77125,0.0,0.0,0.1975
331,19.170092,14.499685,0.7675,0.0,0.0,0.19625
332,19.542881,14.385178,0.76375,0.0,0.0,0.19625
333,20.039936,14.232501,0.76,0.0,0.0,0.195
334,20.53699,14.079824,0.75625,0.0,0.0,0.19375
335,21.034044,13.927148,0.7525,0.0,0.0,0.1925
336,21.531097,13.77447,0.74875,0.0,0.0,0.19125
337,21.903889,13.659963,0.745,0.0,0.0,0.19125
338,22.400942,13.507286,0.74125,0.0,0.0,0.19
339,22.613304,13.496799,0.7375,0.0,0.0,0.18875
340,22.830034,13.253157,0.73375,0.0,0.0,0.1875
341,22.824585,12.8632345,0.73,0.0,0.0,0.1875
342,22.820002,12.343384,0.72625,0.0,0.0,0.18625
343,22.820002,11.953578,0.7225,0.0,0.0,0.185
344,22.820002,11.823723,0.71875,0.0,0.0,0.18375
345,22.820002,11.823723,0.715,0.0,0.0,0.18375
346,22.896257,11.718445,0.71125,0.0,0.0,0.1825
347,23.17347,11.444148,0.70875,0.0,0.0,0.18125
348,23.260368,11.275354,0.705,0.0,0.0,0.18
349,23.702911,11.179995,0.70125,0.0,0.0,0.18
350,23.961916,11.179995,0.6975,0.0,0.0,0.17875
351,23.961916,11.179995,0.69375,0.0,0.0,0.1775
352,23.961916,11.179995,0.69125,0.0,0.0,0.1775
353,23.961916,10.920008,0.6875,0.0,0.0,0.17625
354,23.995264,10.531455,0.68375,0.0,0.0,0.175
355,24.028614,10.142903,0.68,0.0,0.0,0.175
356,24.073078,9.624834,0.6775,0.0,0.0,0.17375
357,24.117538,9.106979,0.67375,0.0,0.0,0.2875
358,24.161999,8.588909,0.67,0.0,0.0,0.28625
359,24.17999,8.071294,0.6675,0.0,0.0,0.325
360,24.115162,7.5582485,0.66375,0.0,0.0,0.32375
361,24.051838,7.1734433,0.66,0.0,0.0,0.3625
362,23.967407,6.66037,0.6575,0.0,0.0,0.36125
363,23.904081,6.275565,0.65375,0.0,0.0,0.4
364,23.820015,5.7624917,0.65,0.0,0.0,0.3975
365,23.820015,5.4200296,0.6475,0.0,0.0,0.39625
366,23.820015,5.4200296,0.64375,0.0,0.0,0.39375
367,23.820015,5.4200296,0.64125,0.0,0.0,0.3925
368,23.820015,5.160043,0.6375,0.0,0.0,0.39
369,23.347908,4.942126,0.635,0.0,0.0,0.38875
370,22.97037,4.8719587,0.63125,0.0,0.0,0.38625
371,22.321585,4.832739,0.62875,0.0,0.0,0.38375
372,22.062073,4.820006,0.625,0.0,0.0,0.3825
373,22.062073,4.820006,0.6225,0.0,0.0,0.38
374,22.423025,4.967644,0.61875,0.0,0.0,0.37875
375,22.78398,5.115282,0.61625,0.0,0.0,0.37625
376,23.299513,5.179987,0.6125,0.0,0.0,0.375
377,23.627747,5.1897736,0.61,0.0,0.0,0.3725
378,23.823242,5.5177555,0.60625,0.0,0.0,0.37125
379,23.859035,6.036496,0.60375,0.0,0.0,0.4375
380,23.885881,6.4255514,0.6,0.0,0.0,0.435
381,23.891834,6.8154864,0.5975,0.0,0.0,0.475
382,23.899773,7.3354,0.595,0.0,0.0,0.4725
383,23.905727,7.725335,0.59125,0.0,0.0,0.5125
384,23.913666,8.245248,0.58875,0.0,0.0,0.51
385,23.880089,8.764137,0.58625,0.0,0.0,0.55
386,23.846512,9.283026,0.5825,0.0,0.0,0.5475
387,23.820005,9.801914,0.58,0.0,0.0,0.545
388,23.820005,10.319057,0.5775,0.0,0.0,0.54125
389,23.793175,10.669683,0.57375,0.0,0.0,0.53875
390,23.566467,10.986999,0.57125,0.0,0.0,0.53625
391,23.287443,11.2569475,0.56875,0.0,0.0,0.53375
392,23.167759,11.604094,0.565,0.0,0.0,0.53125
393,23.14051,12.253437,0.5625,0.0,0.0,0.52875
394,23.113846,12.772726,0.56,0.0,0.0,0.52625
395,23.087349,13.292025,0.5575,0.0,0.0,0.52375
396,23.060852,13.811323,0.55375,0.0,0.0,0.52
397,22.73511,14.0257435,0.55125,0.0,0.0,0.5175
398,22.379498,14.193396,0.54875,0.0,0.0,0.515
399,21.91276,14.269136,0.54625,0.0,0.0,0.5125
400,21.524437,14.305046,0.54375,0.0,0.0,0.51
401,21.006672,14.352927,0.54125,0.0,0.0,0.5075
402,20.618347,14.388837,0.5375,0.0,0.0,0.505
403,20.100582,14.436718,0.535,0.0,0.0,0.5025
404,19.453377,14.496569,0.5325,0.0,0.0,0.5
405,19.170101,14.499782,0.53,0.0,0.0,0.4975
406,19.17009,14.326665,0.5275,0.0,0.0,0.495
407,19.165134,14.238704,0.525,0.0,0.0,0.4925
408,19.13079,14.141299,0.5225,0.0,0.0,0.49
409,18.953186,13.989261,0.52,0.0,0.0,0.4875
410,18.361385,13.979983,0.51625,0.0,0.0,0.485
411,17.866844,13.979983,0.51375,0.0,0.0,0.4825
412,17.55125,13.979983,0.51125,0.0,0.0,0.48
413,17.351927,13.979983,0.825,0.0,0.0,0.47875
414,17.178614,14.024937,0.82125,0.0,0.0,0.47625
415,17.132599,14.058723,0.81625,0.0,0.0,0.47375
416,17.132599,14.058723,0.8125,0.0,0.0,0.47125
417,17.132599,14.058723,0.80875,0.0,0.0,0.46875
418,17.359818,13.979899,0.805,0.0,0.0,0.46625
419,17.232094,13.998923,0.8,0.0,0.0,0.46375
420,17.001163,14.258225,0.79625,0.0,0.0,0.46125
421,16.763771,14.720846,0.7925,0.0,0.0,0.46
422,16.622913,15.084499,0.78875,0.0,0.0,0.4575
423,16.482056,15.448153,0.785,0.0,0.0,0.455
424,16.547382,15.8326235,0.78125,0.0,0.0,0.4525
425,16.71395,16.02991,0.7775,0.0,0.0,0.45
426,16.831291,16.055637,0.7725,0.0,0.0,0.4475
427,17.02752,16.287048,0.76875,0.0,0.0,0.44625
428,17.02001,16.80182,0.765,0.0,0.0,0.44375
429,17.02001,17.439993,0.76125,0.0,0.0,0.44125
430,17.02001,17.925394,0.7575,0.0,0.0,0.43875
431,16.97502,18.041296,0.75375,0.0,0.0,0.4375
432,16.97502,18.041296,0.75,0.0,0.0,0.435
433,17.020016,17.697174,0.74625,0.0,0.0,0.4325
434,17.020016,17.188501,0.7425,0.0,0.0,0.43
435,17.020016,16.709505,0.73875,0.0,0.0,0.42875
436,17.020016,16.395664,0.735,0.0,0.0,0.42625
437,17.020004,16.346071,0.73125,0.0,0.0,0.42375
438,17.019047,16.322702,0.7275,0.0,0.0,0.4225
439,17.005705,16.251554,0.725,0.0,0.0,0.42
440,16.938644,16.12887,0.72125,0.0,0.0,0.4175
441,16.421751,16.02998,0.7175,0.0,0.0,0.41625
442,15.92383,16.14536,0.71375,0.0,0.0,0.41375
443,15.556959,16.179972,0.95,0.0,0.0,0.41125
444,15.556959,16.179972,0.945,0.0,0.0,0.41
445,15.556959,16.179972,0.94,0.0,0.0,0.4075
446,15.556959,16.179972,0.93625,0.0,0.0,0.405
447,15.296972,16.179972,0.93125,0.0,0.0,0.40375
448,15.296972,16.179972,0.92625,0.0,0.0,0.40125
449,15.296972,16.179972,0.9225,0.0,0.0,0.4
450,15.036984,16.179972,0.9175,0.0,0.0,0.3975
451,15.07186,16.698774,0.9125,0.0,0.0,0.395
452,15.106736,17.217577,0.90875,0.0,0.0,0.39375
453,15.141611,17.73638,0.90375,0.0,0.0,0.39125
454,15.176487,18.255182,0.89875,0.0,0.0,0.39
455,15.179994,18.644026,0.895,0.0,0.0,0.3875
456,15.179994,18.901995,0.89,0.0,0.0,0.38625
457,14.834038,19.081993,0.88625,0.0,0.0,0.38375
458,14.488083,19.261993,0.88125,0.0,0.0,0.38125
459,14.026809,19.501991,0.8775,0.0,0.0,0.38
460,13.817075,19.65563,0.8725,0.0,0.0,0.3775
461,13.619459,19.991835,0.86875,0.0,0.0,0.37625
462,13.35597,20.440105,0.86375,0.0,0.0,0.37375
463,13.158354,20.776308,0.86,0.0,0.0,0.3725
464,12.963651,21.16582,0.855,0.0,0.0,0.37
465,12.963651,21.16582,0.85125,0.0,0.0,0.36875
466,12.963651,21.16582,0.84625,0.0,0.0,0.36625
467,13.223638,21.16582,0.8425,0.0,0.0,0.365
468,13.166524,21.521734,0.83875,0.0,0.0,0.36375
469,13.179991,21.910192,0.83375,0.0,0.0,0.36125
